Time,From,To,Amount
09/15/2013 03:39:00 AM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 17yzybgnMGeuKgoxA6qf38GwdMqPuJVqK4 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/15/2013 09:07:00 AM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/15/2013 03:13:00 PM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/15/2013 06:20:00 PM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 1CkNPiH2Wu8qHgbFTY5xVk8WXC5EZzDCqo,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/15/2013 11:10:00 PM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 13byWapJDMHHizXHeRpmDwAdJAexkudZFy 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/16/2013 07:08:00 AM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 1CGFPUGW8ghc1RRFje9NuCYs4pVpwvJ4ja 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 1AMaafADxcWy3iX6EFHd9UhG18g1oW3Pmc,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/16/2013 04:39:00 PM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 1HSMB6Ep5RFvTjwAviGYLaU7PAujxb1HbK,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/16/2013 09:11:00 PM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 1HgBXfr1qvhebfncfYfGPAJvSQA8CPvFMs,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/17/2013 01:55:00 AM,1HDNaamKkv31VgDJaTS2RxREbwAvrxnCBg 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
09/17/2013 08:10:00 AM,14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 1MXc6ynUjqBqjwz8KpPpfPW4ts6Qa7hukn 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 14cZMQk89mRYQkDEj8Rn25AnGoBi5H6uer 16Uvomn6de2ThBaec1AshdGRDpwB4CyKah,Alydian: 18aQubkBvMV9GqBCy7nPjfpdN8uCZiFQrC,5.00000000
