Time,From,To,Amount
09/07/2012 05:43:55 AM,Block Reward,Coinlab: 1BBY3oMrDtiQZBsZHNRmCW65Xf3YNW2U5Q,50.02467500
09/07/2012 07:30:01 AM,Block Reward,Coinlab: 12jSbM5NMP1YzfEKkWWAkB62yPMGJEPYXs,50.05602500
09/07/2012 07:49:21 AM,Block Reward,Coinlab: 18tjP8HdT1hYMPYmbq99AY82bmKPnwa9Up,50.00850000
09/07/2012 04:14:17 PM,Block Reward,Coinlab: 1Q1SZSGhaSc9ArD8RMyazjURb8jbJjBJma,50.03005000
09/07/2012 04:54:07 PM,Block Reward,Coinlab: 1AAC91DDofEFV9khkhUYFbr23kkGy6Amq7,50.01000000
09/07/2012 08:26:19 PM,Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE,15UsnNaZ7xsHniJKdNmnSjx2LqrNt3z26x,-38.05394715
09/07/2012 08:26:19 PM,Coinlab,Miner Fee,-0.00050000
09/07/2012 08:26:19 PM,Coinlab: 1KQTpBcEFwf11w1T5CoKLPKwF92nEHzAzF Coinlab: 1NZJcAY7fETQzJLCpEKs2cozGXfHVBcBVE Coinlab: 1EgtwwZyKXhDajmPXcXDMUff1q1gc9CrYo,15UsnNaZ7xsHniJKdNmnSjx2LqrNt3z26x,-67.62500000
09/07/2012 09:24:12 PM,Block Reward,Coinlab: 1BfM6MHFnDpbty6rGcyeWkrBXPSc4ABesT,50.00450000
09/08/2012 10:45:39 AM,Block Reward,Coinlab: 12FbVu9ybcUim3oCmZA4SKjhLNKxmdFSy2,50.07755000
09/08/2012 12:22:14 PM,Block Reward,Coinlab: 13JcEdjqP3th36BQoj5F2DyJWbbQQABca9,50.09900000
09/09/2012 01:52:41 AM,Block Reward,Coinlab: 1K2CXFwDDh4BeyFstGNFdGou1PpyJiqy7R,50.04050000
